"행정구역","연도",전체,남자,여자
"충청북도","2019",1600007,810384,789623
"충청북도","2020",1600837,811591,789246
"충청북도","2021",1597427,810672,786755
"충청북도","2022",1595058,810782,784276
"충청북도","2023",1593469,810448,783021
"충청북도","2024",1591177,809920,781257
"충청북도","2025",1596502,813665,782837
"충청남도","2026.02",2136064,1097210,1038854
"충청남도","2026.03",2136826,1097453,1039373
"충청남도","2026.04",2137689,1098060,1039629
"충청남도","2016",2096727,1064765,1031962
"충청남도","2017",2116770,1076270,1040500
"충청남도","2018",2126282,1082009,1044273
"충청남도","2019",2123709,1081938,1041771
"충청남도","2020",2121029,1082634,1038395
"충청남도","2021",2119257,1083366,1035891
"충청남도","2022",2123037,1086632,1036405
"충청남도","2023",2130119,1091570,1038549
"충청남도","2024",2136574,1096128,1040446
"충청남도","2025",2136753,1097059,1039694
"전북특별자치도","2026.02",1721941,858094,863847
"전북특별자치도","2026.03",1720812,857671,863141
"전북특별자치도","2026.04",1720203,857466,862737
"전북특별자치도","2016",1864791,927505,937286
"전북특별자치도","2017",1854607,922307,932300
"전북특별자치도","2018",1836832,913297,923535
"전북특별자치도","2019",1818917,904110,914807
"전북특별자치도","2020",1804104,896874,907230
"전북특별자치도","2021",1786855,888994,897861
"전북특별자치도","2022",1769607,880592,889015
"전북특별자치도","2023",1754757,873419,881338
"전북특별자치도","2024",1738690,866030,872660
"전북특별자치도","2025",1724856,859325,865531
"전라남도","2026.02",1776547,897622,878925
"전라남도","2026.03",1775126,897191,877935
"전라남도","2026.04",1775031,897139,877892
"전라남도","2016",1903914,951889,952025
"전라남도","2017",1896424,948290,948134
"전라남도","2018",1882970,943000,939970
"전라남도","2019",1868745,937674,931071
"전라남도","2020",1851549,930615,920934
"전라남도","2021",1832803,922221,910582
"전라남도","2022",1817697,915272,902425
"전라남도","2023",1804217,909548,894669
"전라남도","2024",1788819,902380,886439
"전라남도","2025",1779135,898640,880495
"경상북도","2026.02",2500499,1265562,1234937
"경상북도","2026.03",2499357,1265615,1233742
"경상북도","2026.04",2498364,1265190,1233174
"경상북도","2016",2700398,1356868,1343530
"경상북도","2017",2691706,1353164,1338542
"경상북도","2018",2676831,1346689,1330142
"경상북도","2019",2665836,1342037,1323799
"경상북도","2020",2639422,1329211,1310211
"경상북도","2021",2626609,1323661,1302948
"경상북도","2022",2600492,1311881,1288611
"경상북도","2023",2554324,1290298,1264026
"경상북도","2024",2531384,1280547,1250837
"경상북도","2025",2506526,1268493,1238033
"경상남도","2026.02",3201389,1614651,1586738
"경상남도","2026.03",3198787,1613522,1585265
"경상남도","2026.04",3197859,1612989,1584870
"경상남도","2016",3373871,1699219,1674652
"경상남도","2017",3380404,1701413,1678991
"경상남도","2018",3373988,1697412,1676576
"경상남도","2019",3362553,1692032,1670521
"경상남도","2020",3340216,1681423,1658793
"경상남도","2021",3314183,1668338,1645845
"경상남도","2022",3280493,1651675,1628818
"경상남도","2023",3251158,1636987,1614171
"경상남도","2024",3228380,1626926,1601454
"경상남도","2025",3207383,1617421,1589962
"제주특별자치도","2026.02",663514,331526,331988
"제주특별자치도","2026.03",663177,331326,331851
"제주특별자치도","2026.04",663229,331361,331868
"제주특별자치도","2016",641597,322545,319052
"제주특별자치도","2017",657083,330823,326260
"제주특별자치도","2018",667191,335719,331472
"제주특별자치도","2019",670989,337345,333644
"제주특별자치도","2020",674635,338609,336026
"제주특별자치도","2021",676759,339177,337582
"제주특별자치도","2022",678159,339590,338569
"제주특별자치도","2023",675252,337976,337276
"제주특별자치도","2024",670368,335255,335113
"제주특별자치도","2025",664792,332165,332627
